CBO;Cargo;Jornada;Piso;Teto
622020;Abanador na agricultura;32;1.368,45;2.027,11
784205;Abastecedor de linha de produção;31;1.399,41;2.072,96
784205;Abastecedor de máquinas de linha de produção;31;1.399,41;2.072,96
848510;Açougueiro;34;1.454,84;2.155,08
848510;Açougueiro retalhista;34;1.454,84;2.155,08
141410;Adegueiro;34;1.437,86;2.129,92
141410;Adeleiro (comércio varejista);34;1.437,86;2.129,92
252105;Administrador;31;1.475,16;2.185,17
212305;Administrador de banco de dados;23;1.310,14;1.940,72
252105;Administrador de empresas;31;1.475,16;2.185,17
252105;Administrador de marketing;31;1.475,16;2.185,17
252105;Administrador de orçamento;31;1.475,16;2.185,17
252105;Administrador de patrimônio;31;1.475,16;2.185,17
252105;Administrador de pequena e média empresa;31;1.475,16;2.185,17
252105;Administrador de recursos humanos;31;1.475,16;2.185,17
252105;Administrador de recursos tecnológicos;31;1.475,16;2.185,17
252105;Administrador financeiro;31;1.475,16;2.185,17
252105;Administrador hospitalar;31;1.475,16;2.185,17
252105;Administrador público;31;1.475,16;2.185,17
622020;Adubador;32;1.368,45;2.027,11
914405;Afinador de motores de automóveis;29;1.381,12;2.045,88
725010;Afinador mecânico;26;1.405,84;2.082,49
253140;Agenciador de propaganda;38;1.512,39;2.240,33
253140;Agenciador de publicidade;38;1.512,39;2.240,33
411010;Agente administrativo;28;1.360,51;2.015,35
391205;Agente de inspeção (qualidade);28;1.382,26;2.047,55
354120;Agente de vendas de serviços;35;1.486,64;2.202,19
621005;Agregado - na agropecuária;30;1.378,46;2.041,94
848510;Ajudante de açougueiro (comércio);34;1.454,84;2.155,08
623110;Ajudante de boiadeiro;24;1.361,20;2.016,37
516110;Ajudante de cabeleireiro;33;1.433,76;2.123,84
783225;Ajudante de carga e descarga de mercadoria;33;1.365,87;2.023,28
513505;Ajudante de churrasqueiro;34;1.437,79;2.129,81
763125;Ajudante de confecção;32;1.404,80;2.080,95
513505;Ajudante de confeiteiro;34;1.437,79;2.129,81
513505;Ajudante de cozinha;34;1.437,79;2.129,81
715615;Ajudante de eletricista;23;1.395,51;2.067,19
784105;Ajudante de embalador;35;1.382,11;2.047,33
784105;Ajudante de encaixotador;35;1.382,11;2.047,33
784110;Ajudante de ensacador, a máquina;27;1.438,97;2.131,56
521130;Ajudante de farmácia;34;1.397,34;2.069,89
519935;Ajudante de lavador de automóvel;32;1.441,03;2.134,61
783225;Ajudante de motorista;33;1.365,87;2.023,28
513505;Ajudante de padeiro;34;1.437,79;2.129,81
848315;Ajudante de pasteleiro;33;1.462,63;2.166,62
513505;Ajudante de pizzaiolo;34;1.437,79;2.129,81
519935;Ajudante de polidor de veículos;32;1.441,03;2.134,61
622020;Ajudante de serviço de (aplicação de produtos agroquímicos);32;1.368,45;2.027,11
513505;Ajudante de sushiman;34;1.437,79;2.129,81
