Classes CNAE 2.0 ;Absoluto;Relativo (%)
Cabeleireiros e outras atividades de tratamento de beleza; 1 304 187;9,0
Atividades de malote de entrega;  289 160;2,0
Atividades de publicidade não especificadas anteriormente;  617 753;4,2
Serviços especializados para construção não especificados anteriormente;  669 276;4,6
Obras de acabamento;  315 284;2,2
Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo;  321 110;2,2
Serviços de catering, bufê e outros serviços de comida preparada;  500 092;3,4
Manutenção e reparação de veículos automotores;  454 407;3,1
Comércio varejista de artigos do vestuário e acessórios;  990 379;6,8
Atividades de ensino não especificadas anteriormente;  452 092;3,1
Comércio varejista de outros produtos novos não especificados anteriormente;  335 707;2,3
Confecção de peças de vestuário, exceto roupas íntimas;  277 805;1,9
Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;  876 004;6,0
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;  304 857;2,1
Transporte rodoviário de carga;  420 668;2,9
Outros; 6 438 872;44,2
